tape,step,day,hour,farmer_action,hands_actions,market_actions
0,60,3,12,SOUTH,WATER; WEST; HARVEST,
0,61,3,13,FEED,EAST; WATER; PLANT WHEAT,
0,62,3,14,CARE,WATER; HARVEST; WATER,
0,63,3,15,COLLECT_FERTILIZER,SOUTH; PLANT WHEAT; NORTH,
0,64,3,16,EAST,WATER; WATER; WATER,
0,65,3,17,PLACE FERTILIZER 4,WEST; EAST; HARVEST,SELL FERTILIZER 4; BUY_ANIMAL COW 1
0,66,3,18,PICKUP COW 1,WEST; WATER; PLANT WHEAT,
0,67,3,19,NORTH,WATER; WATER,
0,68,3,20,NORTH,NORTH; EAST,
0,69,3,21,PLACE COW,WATER; SOUTH,
0,70,3,22,PASS,WATER,
0,71,3,23,PASS,,
0,72,4,0,PICKUP WHEAT 3,,BUY_SEED WHEAT 5; HIRE; HIRE; HIRE; HIRE; HIRE
0,73,4,1,WEST,WEST; WEST; WEST; WEST; WEST,
0,74,4,2,FEED,WEST; WEST; NORTH; WEST; WEST,SELL WHEAT 1
0,75,4,3,CARE,WEST; WEST; NORTH; WEST; WEST,
0,76,4,4,COLLECT_FERTILIZER,NORTH; NORTH; NORTH; WEST; NORTH,
0,77,4,5,NORTH,WATER; NORTH; NORTH; NORTH; NORTH,
0,78,4,6,FEED,WEST; NORTH; WATER; WATER; NORTH,
0,79,4,7,CARE,WATER; NORTH; NORTH; HARVEST; NORTH,
0,80,4,8,COLLECT_FERTILIZER,SOUTH; WATER; WATER; PLANT WHEAT; WATER,SELL WHEAT 3
0,81,4,9,EAST,WATER; HARVEST; WEST; WATER; HARVEST,
0,82,4,10,NORTH,WEST; PLANT WHEAT; WATER; NORTH; PLANT WHEAT,
0,83,4,11,FEED,WATER; WATER; SOUTH; WATER; WATER,
0,84,4,12,CARE,NORTH; WATER; HARVEST; SOUTH,
0,85,4,13,COLLECT_FERTILIZER,WATER; SOUTH; PLANT WHEAT; WATER,
0,86,4,14,SOUTH,EAST; WATER; WATER; SOUTH,
0,87,4,15,SOUTH,EAST; NORTH; WATER,
0,88,4,16,PLACE FERTILIZER 3,EAST; WATER; WEST,SELL FERTILIZER 3; BUY_ANIMAL COW 1
0,89,4,17,COLLECT_FERTILIZER,SOUTH; EAST; NORTH; WATER,
0,90,4,18,PLACE FERTILIZER,SOUTH; SOUTH; WATER,SELL FERTILIZER 1
0,91,4,19,CARE,SOUTH; SOUTH,
0,92,4,20,NORTH,SOUTH; PICKUP COW 1,
0,93,4,21,COLLECT_FERTILIZER,PLACE WHEAT; WEST,SELL WHEAT 1
0,94,4,22,CARE,WEST,
0,95,4,23,PASS,PLACE COW,
0,96,5,0,PICKUP WHEAT 5,,BUY_SEED WHEAT 5; BUY_SEED CARROT 3; BUY_SEED STRAWBERRY 1; HIRE; HIRE; HIRE; HIRE
0,97,5,1,FEED,WEST; WEST; WEST,BUY_PRODUCT WHEAT 1
0,98,5,2,CARE,NORTH; WEST; WEST,
0,99,5,3,COLLECT_FERTILIZER,NORTH; WEST; WEST,
0,100,5,4,NORTH,COLLECT_FERTILIZER; NORTH; WEST,SELL FERTILIZER 1; BUY_PRODUCT WHEAT 1
0,101,5,5,FEED,CARE; NORTH; NORTH,BUY_PRODUCT WHEAT 1
0,102,5,6,CARE,SOUTH; NORTH; NORTH,
0,103,5,7,COLLECT_FERTILIZER,SOUTH; NORTH; NORTH,BUY_PRODUCT WHEAT 1
0,104,5,8,WEST,PLACE FERTILIZER; NORTH; WATER,SELL FERTILIZER 1; BUY_SEED STRAWBERRY 1
0,105,5,9,FEED,WATER; HARVEST,
0,106,5,10,CARE,HARVEST; PLANT WHEAT,
0,107,5,11,COLLECT_FERTILIZER,PLANT WHEAT; WATER,
0,108,5,12,SOUTH,WATER; NORTH,SELL WHEAT 2; BUY_PRODUCT WHEAT 2
0,109,5,13,FEED,EAST; WATER,
0,110,5,14,CARE,WATER; HARVEST,
0,111,5,15,COLLECT_FERTILIZER,PLANT WHEAT,
0,112,5,16,WEST,WATER,
0,113,5,17,FEED,SOUTH,
0,114,5,18,CARE,SOUTH,
0,115,5,19,COLLECT_FERTILIZER,SOUTH,
0,116,5,20,EAST,WATER,
0,117,5,21,EAST,,
0,118,5,22,PLACE FERTILIZER 5,,SELL FERTILIZER 4; BUY_SEED STRAWBERRY 2
0,119,5,23,PASS,,
0,120,6,0,PICKUP WHEAT 5,,BUY_SEED WHEAT 4; BUY_SEED STRAWBERRY 1; HIRE; HIRE; HIRE; HIRE
0,121,6,1,WEST,WEST; WEST; WEST; PICKUP WHEAT 5,SELL FERTILIZER 1; BUY_SEED STRAWBERRY 1
0,122,6,2,WEST,NORTH; WEST; WEST; FEED,
0,123,6,3,FEED,NORTH; NORTH; WEST; CARE,SELL WHEAT 2; BUY_SEED STRAWBERRY 1
0,124,6,4,CARE,NORTH; NORTH; WEST; COLLECT_FERTILIZER,
0,125,6,5,COLLECT_FERTILIZER,WATER; WATER; NORTH; NORTH,
0,126,6,6,WEST,WEST; NORTH; WATER; FEED,
0,127,6,7,NORTH,WATER; WATER; NORTH; CARE,
0,128,6,8,NORTH,WEST; WEST; WATER; COLLECT_FERTILIZER,
0,129,6,9,NORTH,WATER; WEST; NORTH; NORTH,
0,130,6,10,WATER,NORTH; WATER; WATER; FEED,
0,131,6,11,HARVEST,WATER; HARVEST; EAST; CARE,
0,132,6,12,PLANT STRAWBERRY,HARVEST; PLANT STRAWBERRY; EAST; COLLECT_FERTILIZER,
0,133,6,13,WATER,PLANT STRAWBERRY; WATER; WATER; WEST,
0,134,6,14,NORTH,WATER; SOUTH; SOUTH,
0,135,6,15,WATER,EAST; WATER; FEED,
0,136,6,16,WEST,WATER; HARVEST; CARE,
0,137,6,17,WATER,EAST; PLANT STRAWBERRY; COLLECT_FERTILIZER,
0,138,6,18,SOUTH,WATER; WATER; SOUTH,
0,139,6,19,WATER,SOUTH; FEED,
0,140,6,20,PASS,WATER; CARE,
0,141,6,21,PASS,COLLECT_FERTILIZER,
0,142,6,22,PASS,EAST,
0,143,6,23,PASS,PLACE FERTILIZER 5,SELL FERTILIZER 5; BUY_SEED STRAWBERRY 1
0,144,7,0,WEST,,BUY_SEED WHEAT 2; BUY_SEED CARROT 1; BUY_SEED STRAWBERRY 3; HIRE; HIRE; HIRE; HIRE; HIRE
0,145,7,1,NORTH,PICKUP WHEAT 5; WEST; WEST; WEST,SELL FERTILIZER 1; HIRE; HIRE; HIRE
0,146,7,2,HARVEST,FEED; PICKUP WHEAT 1; WEST; WEST; WEST; WEST,
0,147,7,3,SOUTH,CARE; WEST; WEST; WEST; WEST; NORTH,
0,148,7,4,HARVEST,COLLECT_FERTILIZER; FEED; NORTH; WEST; WEST; NORTH,
0,149,7,5,EAST,PLACE FERTILIZER; CARE; NORTH; WEST; NORTH; NORTH,SELL FERTILIZER 1; BUY_SEED STRAWBERRY 1
0,150,7,6,PLACE WOOL 12,NORTH; COLLECT_FERTILIZER; NORTH; WEST; NORTH; WATER,SELL WOOL 12; BUY_PRODUCT WHEAT 1; BUY_LAND; BUY_ANIMAL SHEEP 2; BUY_PRODUCT FERTILIZER 2
0,151,7,7,EAST,FEED; EAST; WATER; EAST; EAST; WATER; WATER; EAST,SELL FERTILIZER 2
0,152,7,8,PICKUP SHEEP 1,CARE; PLACE FERTILIZER; WEST; EAST; PICKUP SHEEP 1; EAST; EAST; EAST,SELL FERTILIZER 1; BUY_PRODUCT WHEAT 1
0,153,7,9,PICKUP WHEAT 1,COLLECT_FERTILIZER; EAST; NORTH; NORTH; PICKUP WHEAT 1; WATER; NORTH; PLANT STRAWBERRY,
0,154,7,10,NORTH,NORTH; NORTH; WATER; NORTH; BUILD_PASTURE; NORTH; WATER; WATER,BUY_PRODUCT WHEAT 1
0,155,7,11,BUILD_PASTURE,FEED; NORTH; HARVEST; BUILD_PASTURE; PLACE SHEEP; WATER; WEST; NORTH,
0,156,7,12,PLACE SHEEP,CARE; BUILD_PASTURE; NORTH; EAST; FEED; EAST; WATER; PLANT WHEAT,BUY_PRODUCT WHEAT 1
0,157,7,13,FEED,COLLECT_FERTILIZER; NORTH; WATER; PLANT STRAWBERRY; CARE; SOUTH; NORTH; WATER,
0,158,7,14,CARE,WEST; PLANT STRAWBERRY; HARVEST; WATER; EAST; COLLECT_FERTILIZER; WATER; EAST,BUY_PRODUCT WHEAT 1
0,159,7,15,EAST,SOUTH; WATER; EAST; EAST; BUILD_PASTURE; CARE; EAST; EAST,
0,160,7,16,NORTH,FEED; NORTH; WATER; PLANT STRAWBERRY; EAST; WATER; PLANT WHEAT,BUY_PRODUCT WHEAT 1
0,161,7,17,BUILD_PASTURE,CARE; PLANT WHEAT; HARVEST; WATER; BUILD_PASTURE; NORTH; WATER,
0,162,7,18,EAST,COLLECT_FERTILIZER; WATER; NORTH; EAST; WATER; WEST,BUY_PRODUCT WHEAT 1
0,163,7,19,PLANT STRAWBERRY,EAST; WEST; PLANT STRAWBERRY; PLANT STRAWBERRY; PLANT WHEAT,
0,164,7,20,WATER,SOUTH; WATER; WATER; WATER; WATER,BUY_PRODUCT WHEAT 1
0,165,7,21,PASS,PLACE FERTILIZER 3; EAST; SOUTH,SELL FERTILIZER 3
0,166,7,22,PASS,PLANT STRAWBERRY; PLANT WHEAT,
0,167,7,23,PASS,WATER; WATER,
0,168,8,0,PICKUP WHEAT 1,,SELL FERTILIZER 1; BUY_SEED WHEAT 4; BUY_SEED STRAWBERRY 4; HIRE; HIRE; HIRE; HIRE; HIRE; HIRE; HIRE
0,169,8,1,WEST,WEST; NORTH; NORTH; PICKUP WHEAT 1; WEST; NORTH; NORTH,SELL WHEAT 6; HIRE; BUY_PRODUCT FERTILIZER 1
0,170,8,2,WEST,PICKUP WHEAT 1; PICKUP WHEAT 1; PICKUP WHEAT 1; WEST; PICKUP WHEAT 1; PICKUP WHEAT 1; PICKUP WHEAT 1; EAST,SELL FERTILIZER 1
0,171,8,3,FEED,WEST; NORTH; NORTH; NORTH; NORTH; FEED; FEED; EAST,
0,172,8,4,CARE,FEED; NORTH; FEED; FEED; FEED; CARE; CARE; EAST,
0,173,8,5,COLLECT_FERTILIZER,CARE; FEED; CARE; CARE; CARE; COLLECT_FERTILIZER; COLLECT_FERTILIZER; EAST,
0,174,8,6,WEST,COLLECT_FERTILIZER; CARE; COLLECT_FERTILIZER; COLLECT_FERTILIZER; COLLECT_FERTILIZER; PLACE FERTILIZER; PLACE FERTILIZER; NORTH,SELL FERTILIZER 2; BUY_ANIMAL COW 1
0,175,8,7,WATER,EAST; COLLECT_FERTILIZER; SOUTH; WEST; SOUTH; EAST; PICKUP COW 1; NORTH,
0,176,8,8,WEST,PLACE FERTILIZER; SOUTH; PLACE FERTILIZER; WEST; PLACE FERTILIZER; EAST; EAST; NORTH,SELL FERTILIZER 3
0,177,8,9,WATER,NORTH; SOUTH; NORTH; WEST; WEST; EAST; PLACE COW; NORTH,
0,178,8,10,NORTH,NORTH; PLACE FERTILIZER; NORTH; WATER; WEST; EAST; CARE; PLANT STRAWBERRY,SELL FERTILIZER 1; BUY_ANIMAL COW 1
0,179,8,11,NORTH,NORTH; EAST; NORTH; NORTH; NORTH; EAST; WEST; WATER,
0,180,8,12,NORTH,WATER; PICKUP COW 1; NORTH; WATER; WATER; NORTH; PICKUP WHEAT 1; EAST,
0,181,8,13,NORTH,NORTH; NORTH; WATER; NORTH; WEST; PLANT STRAWBERRY; EAST; DIG,
0,182,8,14,PLANT WHEAT,WATER; NORTH; EAST; PLANT WHEAT; WATER; WATER; FEED; PLANT WHEAT,
0,183,8,15,WATER,WEST; PLACE COW; WATER; WATER; NORTH; NORTH; WATER,
0,184,8,16,PASS,WATER; CARE; EAST; EAST; WATER; PLANT STRAWBERRY; NORTH,
0,185,8,17,PASS,SOUTH; WATER; WATER; EAST; WATER; PLANT WHEAT,
0,186,8,18,PASS,WATER; SOUTH; NORTH; WATER; WATER,
0,187,8,19,PASS,WEST; WATER; PLANT STRAWBERRY; EAST; WEST,
0,188,8,20,PASS,WATER; WATER; WATER; WATER,
0,189,8,21,PASS,EAST,
0,190,8,22,PASS,WATER,
0,191,8,23,PASS,,
0,192,9,0,NORTH,,BUY_SEED WHEAT 5; HIRE; HIRE; HIRE; HIRE; HIRE
0,193,9,1,HARVEST,PICKUP WHEAT 3; EAST; NORTH; NORTH; PICKUP WHEAT 5,SELL FERTILIZER 2; BUY_SEED STRAWBERRY 1; HIRE; HIRE; HIRE
0,194,9,2,SOUTH,WEST; EAST; HARVEST; NORTH; FEED; WEST; EAST; NORTH,
0,195,9,3,PLACE MILK 6,FEED; NORTH; PLACE MILK 6; NORTH; CARE; NORTH; NORTH; NORTH,SELL MILK 12; BUY_PRODUCT WHEAT 3; BUY_SEED STRAWBERRY 3; HIRE; BUY_ANIMAL SHEEP 2; BUY_PRODUCT FERTILIZER 1
0,196,9,4,PASS,EAST; NORTH; EAST; NORTH; NORTH; EAST; NORTH; WEST; PICKUP WHEAT 3,SELL FERTILIZER 1
0,197,9,5,PASS,EAST; NORTH; EAST; WATER; FEED; EAST; NORTH; WEST; FEED,BUY_PRODUCT WHEAT 3
0,198,9,6,PASS,EAST; WATER; EAST; WEST; CARE; PICKUP SHEEP 2; NORTH; WATER; CARE,
0,199,9,7,PASS,FEED; HARVEST; NORTH; WEST; COLLECT_FERTILIZER; EAST; NORTH; WEST; COLLECT_FERTILIZER,BUY_PRODUCT WHEAT 3
0,200,9,8,PASS,CARE; PLANT STRAWBERRY; NORTH; WATER; WEST; NORTH; WATER; WEST; PLACE FERTILIZER,SELL FERTILIZER 1
0,201,9,9,PASS,COLLECT_FERTILIZER; WATER; WATER; WEST; FEED; PLACE SHEEP; HARVEST; WATER; NORTH,BUY_PRODUCT WHEAT 3
0,202,9,10,EAST,WEST; WEST; NORTH; WEST; CARE; CARE; PLANT STRAWBERRY; SOUTH; FEED,
0,203,9,11,PICKUP WHEAT 1,PLACE FERTILIZER; WATER; NORTH; WEST; COLLECT_FERTILIZER; EAST; WATER; WATER; CARE,SELL FERTILIZER 1; BUY_PRODUCT WHEAT 3
0,204,9,12,EAST,EAST; WEST; WATER; WATER; WEST; SOUTH; WEST; COLLECT_FERTILIZER,
0,205,9,13,NORTH,EAST; WEST; HARVEST; SOUTH; SOUTH; PLACE SHEEP; WATER; NORTH,BUY_PRODUCT WHEAT 3
0,206,9,14,FEED,EAST; WATER; PLANT STRAWBERRY; SOUTH; FEED; CARE; HARVEST; FEED,
0,207,9,15,WEST,WATER; WEST; WATER; SOUTH; CARE; NORTH; PLANT STRAWBERRY; CARE,BUY_PRODUCT WHEAT 3
0,208,9,16,SOUTH,EAST; WEST; EAST; WATER; COLLECT_FERTILIZER; WATER; WATER; COLLECT_FERTILIZER,
0,209,9,17,PICKUP WHEAT 1,WATER; WATER; WATER; EAST; EAST; EAST; WEST; WEST,
0,210,9,18,EAST,NORTH; SOUTH; HARVEST; WATER; EAST; WATER; WATER; CARE,
0,211,9,19,EAST,WATER; WATER; PLANT WHEAT; PLACE FERTILIZER 3; NORTH; WEST; COLLECT_FERTILIZER,SELL FERTILIZER 3
0,212,9,20,FEED,NORTH; SOUTH; WATER; COLLECT_FERTILIZER; WATER; WATER; SOUTH,
0,213,9,21,PASS,WATER; WATER; WEST; NORTH; SOUTH,SELL WHEAT 2
0,214,9,22,PASS,NORTH; COLLECT_FERTILIZER; WATER; PLACE FERTILIZER 3,SELL FERTILIZER 3
0,215,9,23,PASS,WATER; EAST; CARE,
0,216,10,0,PICKUP WHEAT 3,,BUY_SEED WHEAT 6; BUY_SEED STRAWBERRY 1; HIRE; HIRE; HIRE; HIRE; HIRE; HIRE; HIRE; HIRE
0,217,10,1,WEST,PICKUP WHEAT 4; EAST; WEST; PICKUP WHEAT 5; WEST; WEST; WEST; WEST,SELL FERTILIZER 2; HIRE; BUY_ANIMAL COW 1
0,218,10,2,HARVEST,FEED; NORTH; EAST; FEED; WEST; WEST; NORTH; PICKUP COW 1,BUY_PRODUCT WHEAT 3
0,219,10,3,EAST,CARE; NORTH; EAST; CARE; WEST; WEST; HARVEST; EAST,
0,220,10,4,PLACE WOOL 4,COLLECT_FERTILIZER; NORTH; EAST; COLLECT_FERTILIZER; WEST; WEST; EAST; NORTH,SELL WOOL 4; BUY_PRODUCT WHEAT 3
0,221,10,5,WEST,PLACE FERTILIZER; NORTH; NORTH; NORTH; WEST; NORTH; SOUTH; NORTH,SELL FERTILIZER 1
0,222,10,6,FEED,EAST; WATER; NORTH; FEED; NORTH; WATER; PLACE WOOL 4; PLACE COW,SELL WOOL 4; BUY_PRODUCT WHEAT 3
0,223,10,7,CARE,FEED; EAST; WATER; CARE; WATER; EAST; EAST; WEST; CARE,
0,224,10,8,COLLECT_FERTILIZER,CARE; WATER; NORTH; COLLECT_FERTILIZER; NORTH; WATER; NORTH; WEST; EAST,BUY_PRODUCT WHEAT 3
0,225,10,9,NORTH,COLLECT_FERTILIZER; EAST; WATER; NORTH; WATER; NORTH; PICKUP WHEAT 1; WEST; EAST,
0,226,10,10,FEED,NORTH; WATER; EAST; FEED; NORTH; WATER; EAST; NORTH; EAST,BUY_PRODUCT WHEAT 3
0,227,10,11,CARE,FEED; NORTH; WATER; CARE; WATER; EAST; NORTH; NORTH; NORTH,
0,228,10,12,COLLECT_FERTILIZER,CARE; WATER; SOUTH; COLLECT_FERTILIZER; HARVEST; WATER; NORTH; NORTH; WATER,BUY_PRODUCT WHEAT 3
0,229,10,13,WEST,COLLECT_FERTILIZER; WEST; WATER; EAST; PLANT WHEAT; FEED; WATER; HARVEST,
0,230,10,14,SOUTH,EAST; WATER; SOUTH; FEED; WATER; EAST; PLANT WHEAT,BUY_PRODUCT WHEAT 3
0,231,10,15,FEED,SOUTH; WEST; WATER; CARE; NORTH; WATER; WATER,
0,232,10,16,CARE,FEED; WATER; EAST; COLLECT_FERTILIZER; WATER; EAST; NORTH,
0,233,10,17,COLLECT_FERTILIZER,CARE; WEST; WATER; SOUTH; HARVEST; WATER; WATER,
0,234,10,18,EAST,COLLECT_FERTILIZER; WEST; NORTH; FEED; PLANT WHEAT; SOUTH; HARVEST,
0,235,10,19,EAST,WEST; WATER; WATER; CARE; WATER; WATER; PLANT WHEAT,
0,236,10,20,PLACE FERTILIZER 3,WEST; EAST; NORTH; COLLECT_FERTILIZER; EAST; WEST; WATER,SELL FERTILIZER 3
0,237,10,21,PASS,PLACE FERTILIZER 3; WATER; WATER; SOUTH; WATER; WATER; WEST,SELL WHEAT 2; SELL FERTILIZER 3
0,238,10,22,PASS,SOUTH; PLACE FERTILIZER 5; EAST; WEST; SOUTH,SELL FERTILIZER 5
0,239,10,23,PASS,WATER; WATER; WATER; WATER,
0,240,11,0,NORTH,,BUY_SEED WHEAT 4; HIRE; HIRE; HIRE; HIRE; HIRE; HIRE; HIRE; HIRE; HIRE
0,241,11,1,WEST,WEST; WEST; WEST; NORTH; NORTH; WEST; WEST; WEST; WEST,HIRE; HIRE; BUY_PRODUCT FERTILIZER 8
0,242,11,2,WEST,WEST; NORTH; WEST; PICKUP WHEAT 5; NORTH; WEST; WEST; WEST; WEST; WEST; WEST,SELL FERTILIZER 3; BUY_PRODUCT WHEAT 5
0,243,11,3,WEST,WEST; NORTH; NORTH; FEED; NORTH; NORTH; NORTH; NORTH; WEST; NORTH; WEST,
0,244,11,4,WATER,WEST; NORTH; NORTH; CARE; NORTH; NORTH; NORTH; NORTH; WATER; PICKUP WHEAT 5; NORTH,BUY_PRODUCT WHEAT 5
0,245,11,5,HARVEST,WATER; WATER; NORTH; COLLECT_FERTILIZER; WATER; WATER; WATER; NORTH; HARVEST; FEED; NORTH,
0,246,11,6,EAST,HARVEST; HARVEST; WATER; NORTH; HARVEST; HARVEST; HARVEST; NORTH; EAST; CARE; NORTH,BUY_PRODUCT WHEAT 5
0,247,11,7,EAST,EAST; SOUTH; HARVEST; FEED; SOUTH; EAST; EAST; NORTH; EAST; COLLECT_FERTILIZER; WATER,
0,248,11,8,EAST,EAST; SOUTH; EAST; CARE; SOUTH; SOUTH; EAST; WATER; EAST; NORTH; HARVEST,BUY_PRODUCT WHEAT 5
0,249,11,9,SOUTH,EAST; SOUTH; EAST; COLLECT_FERTILIZER; SOUTH; SOUTH; SOUTH; HARVEST; PLACE MELON 6; FEED; EAST,SELL MELON 6
0,250,11,10,PLACE MELON 6,EAST; PLACE MELON 6; SOUTH; EAST; SOUTH; PLACE MELON 6; PLACE MELON 6; EAST; PICKUP WHEAT 3; CARE; SOUTH,SELL MELON 24; BUY_PRODUCT WHEAT 5
0,251,11,11,NORTH,PLACE MELON 6; WEST; SOUTH; FEED; PLACE MELON 6; WEST; WEST; SOUTH; WEST; COLLECT_FERTILIZER; SOUTH,SELL MELON 12
0,252,11,12,NORTH,NORTH; WEST; PLACE MELON 6; CARE; WEST; WEST; NORTH; SOUTH; FEED; NORTH; SOUTH,SELL MELON 6; SELL FERTILIZER 5; BUY_PRODUCT WHEAT 5
0,253,11,13,NORTH,NORTH; NORTH; COLLECT_FERTILIZER; WEST; NORTH; NORTH; SOUTH; CARE; FEED; PLACE MELON 6,SELL MELON 6
0,254,11,14,BUILD_COOP,HARVEST; PLANT STRAWBERRY; SOUTH; WEST; NORTH; BUILD_PASTURE; SOUTH; COLLECT_FERTILIZER; CARE,BUY_PRODUCT WHEAT 5
0,255,11,15,NORTH,SOUTH; WATER; FEED; PLANT WHEAT; PLANT WHEAT; NORTH; PLACE MELON 6; NORTH; COLLECT_FERTILIZER,SELL MELON 6
0,256,11,16,PLANT WHEAT,HARVEST; WEST; CARE; WATER; WATER; PLANT WHEAT; FEED; EAST,BUY_PRODUCT WHEAT 5
0,257,11,17,WATER,SOUTH; PLANT WHEAT; COLLECT_FERTILIZER; WEST; NORTH; WATER; CARE; FEED,
0,258,11,18,EAST,HARVEST; WATER; EAST; PLANT WHEAT; WATER; NORTH; COLLECT_FERTILIZER; CARE,
0,259,11,19,EAST,PLACE MILK 11; NORTH; FEED; WATER; HARVEST; PLANT WHEAT; WEST; COLLECT_FERTILIZER,SELL MILK 11
0,260,11,20,EAST,WATER; CARE; PLANT WHEAT; WATER; SOUTH; EAST,
0,261,11,21,EAST,HARVEST; COLLECT_FERTILIZER; WATER; FEED; FEED,SELL WHEAT 6
0,262,11,22,WATER,CARE; CARE,
0,263,11,23,PASS,COLLECT_FERTILIZER; COLLECT_FERTILIZER,
0,264,12,0,EAST,,SELL MELON 12; SELL FERTILIZER 13; BUY_PRODUCT WHEAT 3; BUY_SEED WHEAT 11; BUY_SEED CARROT 1; BUY_SEED STRAWBERRY 23; HIRE; HIRE; HIRE; HIRE
0,265,12,1,PICKUP WHEAT 5,PICKUP WHEAT 3; WEST; NORTH; PICKUP WHEAT 5,HIRE; HIRE; HIRE; HIRE; HIRE; HIRE; BUY_LAND; BUY_PRODUCT FERTILIZER 1
0,266,12,2,FEED,WEST; SOUTH; NORTH; FEED; SOUTH; WEST; WEST; WEST; WEST; EAST,SELL FERTILIZER 1; BUY_PRODUCT WHEAT 3
0,267,12,3,CARE,FEED; PLANT STRAWBERRY; NORTH; CARE; PLANT STRAWBERRY; PLANT STRAWBERRY; WEST; WEST; WEST; EAST,
0,268,12,4,COLLECT_FERTILIZER,CARE; WATER; NORTH; COLLECT_FERTILIZER; WATER; WATER; PLANT STRAWBERRY; PLANT STRAWBERRY; HARVEST; EAST,BUY_PRODUCT WHEAT 3
0,269,12,5,NORTH,COLLECT_FERTILIZER; SOUTH; WATER; NORTH; WEST; WEST; WATER; WATER; EAST; WATER,
